@relation temp_viento

@attribute temp numeric
@attribute viento numeric

@data
25.2,1.6
28.5,2.9
28.4,3.5
28.1,3.6
28.0,3.9
27.9,4.0 
27.8,4.4
27.7,4.8
27.5,5.0
27.4,5.1
27.4,4.8
27.5,4.1
27.5,2.7
27.4,2.4
27.2,3.2
27.2,3.5
27.8,3.9
28.7,3.8
29.3,3.4
29.9,2.7
30.2,2.2
29.8,2.6
29.4,3.0
29.0,2.5
28.9,2.9
28.7,3.2
28.3,3.3
27.9,3.5
27.8,3.4
27.8,3.2
27.9,3.3
27.9,2.9
27.9,1.9
27.9,1.5
27.8,2.2
27.6,2.5
27.4,2.7
27.2,3.1
27.2,3.1
27.2,3.1
27.8,3.4
28.4,3.0
29.0,2.4
29.5,1.6
29.6,1.5
29.5,2.7
29.2,3.0
29.0,3.0
28.9,2.9
28.7,3.2
28.3,3.3
28.0,3.2
26.5,2.8
26.6,2.3
27.7,1.7
26.6,1.5
26.6,1.4
26.5,0.8
26.5,1.2
26.3,2.0
25.9,2.8
25.6,3.5
25.0,3.6
25.2,3.3
26.2,3.7
27.4,3.6
28.4,3.0
29.1,2.3
29.1,2.3
28.8,3.0
28.7,3.0
28.5,2.8
28.0,2.9
27.4,2.8
26.4,2.6
26.3,2.3
26.4,2.3
26.4,2.8
26.5,3.3
26.2,4.3
26.3,4.7
26.3,4.4
26.1,4.0
